Studio ItemNo	BaseStudioItemNo	BL ItemNo	BL ItemKey	LDraw ItemNo	LDD ItemNo	Description	isPerfectForCulling	BLCatalogIndex	BLCatalogSubIndex	EasyModeIndex	IsAssembly?	flexible type	IsDecorated	XPCatalogIndex	XPCatalogSubIndex
40127	40127	30648	40127	30648.dat	30648	Tire 24 x 14 Shallow Tread	o	99	-1	25	False		False	5063	5066	
104772	104772	92402	104772	92402.dat	92402	Tire 30.4 x 14 Offset Tread - Band Around Center of Tread	o	99	-1	25	False		False	5063	5066	
42	42	2346	42	2346.dat	2346	Tire 30 x 10.5 Offset Tread	o	99	-1	25	False		False	5063	5066	
89941	89941	56897	89941	56897.dat	56897	Tire 30 x 10.5 Offset Tread - Band Around Center of Tread	o	99	-1	25	False		False	5063	5066	
648	648	3641	648	3641.dat	3641	Tire 15mm D. x 6mm Offset Tread Small	o	99	-1	25	False		False	5063	5066	
53297	53297	50861	53297	50861.dat	50861	Tire 21mm D. x 6mm City Motorcycle	o	99	-1	25	False		False	5063	5066	
783	783	4084	783	4084.dat		Tire 21mm D. x 9mm Offset Tread Medium	o	99	-1	25	False		False	5063	5066	
84106	84106	56898	84106	56898.dat	56898	Tire 43.2 x 14 Offset Tread	o	99	-1	25	False		False	5063	5066	
44462	44462	bb0180	44462	539.dat		Tire 41 mm Directional Tread	o	99	-1	25	False		False	5063	5066	
1817	1817	6578	1817	6578.dat		Tire 30.4 x 14 VR	o	99	-1	25	False		False	5063	5066	
123775	123775	15413	123775	15413.dat		Tire 49.5 x 20	o	99	-1	25	False		False	5063	5066	
106693	106693	89201	106693	89201.dat	89201	Tire 24 x 14 Shallow Tread, Band Around Center of Tread	o	99	-1	25	False		False	5063	5066	
64953	64953	x1681	64953	53992c01.dat	53992	Tread with 36 Treads Large, Non-Technic	o	99	-1	25	False		False	5063	5066	
1571	1571	3139	1571	3139.dat	3139	Tire 14mm D. x 4mm Smooth Small Single	o	99	-1	25	False		False	5063	5066	
83327	83327	60700	83327	6015.dat		Tire 21mm D. x 12mm - Offset Tread Small Wide, Beveled Tread Edge	o	99	-1	25	False		False	5063	5066	
38788	38788	44308	38788	44308.dat		Tire 43.2 x 22 H	o	99	-1	25	False		False	5063	5066	
80111	80111	56891	80111	56891.dat	56891	Tire 37 x 18R	o	99	-1	25	False		False	5063	5066	
119532	119532	11209	119532	11209.dat	11209	Tire 21 x 9.9	o	99	-1	25	False		False	5063	5066	
173016	173016	35578	173016	35578.dat		Tire 37 x 14	o	99	-1	25	False		False	5063	5066	
82961	82961	59895	82961	59895.dat	59895	Tire 14mm D. x 4mm Smooth Small Single with Number Molded on Side	o	99	-1	25	False		False	5063	5066	
68166	68166	58090	68166	58090.dat	58090	Tire 30.4 x 14 Solid	o	99	-1	25	False		False	5063	5066	
616	616	3483	616	3483.dat	3483	Tire 24mm D. x 8mm Offset Tread - Interior Ridges	o	99	-1	25	False		False	5063	5066	
694	694	3740	694	3740.dat		Tire 24 x 43 Technic, Solid	o	99	-1	25	False		False	5063	5066	
80070	80070	56890	80070	56890.dat	56890	Tire 24 x 12 R Balloon	o	99	-1	25	False		False	5063	5066	
68125	68125	55978	68125	55978.dat	55978	Tire 37 x 22 ZR	o	99	-1	25	False		False	5063	5066	
134213	134213	18977	134213	18977.dat		Tire 24 x 12 Low	o	99	-1	25	False		False	5063	5066	
84621	84621	61254	84621	61254.dat	61254	Tire 23mm D. x 7mm Offset Tread - Band Around Center of Tread	o	99	-1	25	False		False	5063	5066	
